homeTeam,awayTeam,league,odds,date,time
Nottingham,Brighton,premier,"['2.48', '3.41', '2.86']",2025-02-01,13:30
Bournemouth,Liverpool,premier,"['4.52', '4.27', '1.69']",2025-02-01,16:00
Everton,Leicester,premier,"['1.84', '3.58', '4.45']",2025-02-01,16:00
Ipswich,Southampton,premier,"['2.05', '3.56', '3.61']",2025-02-01,16:00
Newcastle,Fulham,premier,"['1.71', '4.06', '4.64']",2025-02-01,16:00
Wolves,Aston Villa,premier,"['3.27', '3.61', '2.15']",2025-02-01,18:30
Brentford,Tottenham,premier,"['2.04', '4.06', '3.21']",2025-02-02,15:00
Manchester Utd,Crystal Palace,premier,"['1.94', '3.52', '4.04']",2025-02-02,15:00
Arsenal,Manchester City,premier,"['1.97', '3.59', '3.86']",2025-02-02,17:30
Chelsea,West Ham,premier,"['1.37', '5.48', '7.40']",2025-02-03,21:00
